Roll_Radians,Pitch_Radians,Yaw_Radians,Latitude,Longitude,Acc_Net,Altitude,Voltage,System_State
2.123,-1.158,-3.013,0.0,0.0,1.25,454.337,0.206,0
2.189,-1.119,-2.999,0.0,0.0,1.294,454.337,0.206,0
2.16,-1.115,-2.921,0.0,0.0,1.252,454.321,0.206,0
2.103,-1.089,-2.865,0.0,0.0,1.279,454.312,0.206,0
2.095,-1.123,-2.812,0.0,0.0,1.264,454.314,0.206,0
2.098,-1.148,-2.773,0.0,0.0,1.234,454.326,0.206,0
2.097,-1.185,-2.784,0.0,0.0,1.27,454.33,0.206,0
2.093,-1.205,-2.756,0.0,0.0,1.268,454.339,0.206,0
2.149,-1.246,-2.802,0.0,0.0,1.354,454.365,0.206,0
2.121,-1.264,-2.768,0.0,0.0,1.256,454.356,0.206,0
2.04,-1.277,-2.677,0.0,0.0,1.197,454.414,0.206,0
1.971,-1.284,-2.603,0.0,0.0,1.265,454.457,0.206,0
1.887,-1.303,-2.489,0.0,0.0,1.265,454.532,0.206,0
1.764,-1.299,-2.344,0.0,0.0,1.278,454.55,0.206,0
1.573,-1.274,-2.149,0.0,0.0,1.225,454.581,0.206,0
1.399,-1.245,-1.971,0.0,0.0,1.255,454.62,0.196,0
1.26,-1.215,-1.811,0.0,0.0,1.148,454.642,0.206,0
1.165,-1.184,-1.72,0.0,0.0,1.122,454.674,0.206,0
1.069,-1.182,-1.636,0.0,0.0,1.076,454.695,0.206,0
1.044,-1.182,-1.63,0.0,0.0,1.049,454.732,0.206,0
1.036,-1.216,-1.638,0.0,0.0,1.157,454.733,0.206,0
1.016,-1.254,-1.607,0.0,0.0,1.187,454.751,0.206,0
0.941,-1.28,-1.536,0.0,0.0,1.226,454.797,0.206,0
1.082,-1.328,-1.664,0.0,0.0,1.011,454.792,0.206,0
1.838,-1.401,-2.427,0.0,0.0,1.279,454.776,0.206,0
2.038,-1.411,-2.654,0.0,0.0,1.448,454.733,0.206,0
2.057,-1.428,-2.723,0.0,0.0,1.323,454.72,0.206,0
2.115,-1.423,-2.821,0.0,0.0,1.303,454.735,0.206,0
2.11,-1.424,-2.836,0.0,0.0,1.28,454.749,0.206,0
2.161,-1.435,-2.896,0.0,0.0,1.249,454.741,0.206,0
2.287,-1.447,-3.004,0.0,0.0,1.21,454.746,0.206,0
2.662,-1.448,2.948,0.0,0.0,1.085,454.776,0.206,0
-2.893,-1.444,2.255,0.0,0.0,1.261,454.766,0.206,0
-2.671,-1.407,2.025,0.0,0.0,1.323,454.74,0.206,0
-2.818,-1.379,2.138,0.0,0.0,1.487,454.685,0.206,0
3.109,-1.348,2.434,0.0,0.0,1.434,454.677,0.206,0
2.765,-1.313,2.737,0.0,0.0,1.261,454.66,0.206,0
2.415,-1.178,3.044,0.0,0.0,1.362,454.686,0.206,0
2.275,-1.039,-3.115,0.0,0.0,1.31,454.679,0.206,0
2.51,-1.166,3.042,0.0,0.0,1.249,454.641,0.206,0
-2.444,-1.299,1.899,0.0,0.0,1.226,454.634,0.206,0
-1.444,-0.944,1.099,0.0,0.0,1.181,454.611,0.206,0
-1.144,-0.588,0.991,0.0,0.0,1.039,454.605,0.206,0
-0.923,-0.358,0.97,0.0,0.0,0.98,454.636,0.206,0
-0.768,-0.239,0.955,0.0,0.0,1.042,454.641,0.206,0
-0.761,-0.227,0.953,0.0,0.0,1.112,454.609,0.206,0
-0.776,-0.228,0.949,0.0,0.0,1.042,454.615,0.206,0
-0.858,-0.411,0.853,0.0,0.0,1.024,454.634,0.206,0
-1.028,-0.747,0.752,0.0,0.0,1.11,454.636,0.206,0
-1.205,-1.06,0.723,0.0,0.0,1.225,454.536,0.206,0
-1.615,-1.413,0.917,0.0,0.0,1.214,454.514,0.206,0
2.053,-1.359,-2.936,0.0,0.0,1.28,454.498,0.206,0
1.726,-0.898,-2.823,3e-07,0.0,1.156,454.536,0.206,0
1.539,-0.504,-2.813,0.0,0.0,1.218,454.528,0.206,0
1.357,-0.122,-2.753,0.0,0.0,1.256,454.525,0.206,0
1.349,-0.077,-2.705,0.0,0.0,1.324,454.551,0.206,0
1.395,-0.137,-2.677,0.0,0.0,1.229,454.563,0.206,0
1.625,-0.43,-2.669,0.0,0.0,1.18,454.558,0.206,0
1.888,-0.662,-2.849,0.0,0.0,1.407,454.561,0.206,0
2.211,-0.799,3.119,0.0,0.0,1.209,454.58,0.206,0
2.438,-0.795,2.845,0.0,0.0,1.291,454.56,0.206,0
2.723,-0.847,2.601,0.0,0.0,1.312,454.528,0.206,0
